Advertisements 	date.2,Street,R.,m²,Floor,Series,"Price, m2",Price
Māja vai liels divlīmeņu Dzīvoklis ar ideālu lokāciju? Pārdo,Brivibas 281,5,112,5/6,Spec. pr.,"1,455 €","163,000 €"
"Pārdošanā atjaunots, gaišs un kvalitatīvs trīs istabu dzīvoklis",Brivibas 72,3,82,5/5,Pre-war house,"2,354 €","193,000 €"
"""Aleksandra Apartments"" - pārdodu trīs istabu dzīvokli jaunajā,",Ausekla 4,3,80,3/7,New,"2,738 €","219,000 €"
"Colonel’S House ir Jūsu iespēja radīt mājvietu tieši tādu, kādu",Pulkv. Briezha 15,2,48,2/7,Recon.,"3,187 €","152,960 €"
"Предлагается квартира в Тихом центре Риги, в полностью реновиров",Rupniecibas 11,2,75,4/5,Recon.,"3,867 €","290,000 €"
"Īpašnieks pārdod siltu, gaišu, mājīgu un ērtu dzīvokli pirmskara",Tallinas 9,3,46,3/4,Pre-war house,"1,424 €","65,500 €"
"Māja tiek izpārdota pa atsevišķiem dzīvokļiem, kas dod iespēju i",Chaka 133,1,32,4/6,Pre-war house,"1,469 €","47,000 €"
3 istabu dzīvoklis Centrā - peļņa gadā ~7%. Ideāli piemērots gan,Lachplesha 52,3,56,2/5,Pre-war house,"2,313 €","129,500 €"
Pārdošanā renovēts 2 istabu dzīvoklis Rīgas centrā Adrese: Ma,Matisa 101,2,45,1/5,Recon.,"2,178 €","98,000 €"
"Pārdošanā gaišs, plašs un funkcionāli izplānots 2 istabu dzīvokl",Rupniecibas 34A,2,57,5/6,New,"2,895 €","165,000 €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,Brivibas 190,1,26,2/6,Recon.,"1,606 €","41,743 €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,Brivibas 190,1,25,2/6,Recon.,"1,670 €","41,743 €"
Plašas telpas vēsturiskā namā klusajā centrā. Tiek piedāvāta,Vilandes 12,5,160,2/5,Recon.,"1,750 €","280,000 €"
Attīstītājs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,Brivibas 190,3,44,2/6,Recon.,"1,746 €","76,825 €"
Iekšpagalma ēka. Attīstītājs piedāvā iegādāties dzīvokļus 1912,Brivibas 190,2,47,1/6,Recon.,"1,272 €","59,776 €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,Brivibas 190,4,66,2/6,Recon.,"1,618 €","106,758 €"
Rīgas centrā tiek pārdots studio tipa dzīvoklis Iespēja iegād,Brivibas 68,1,38,1/6,Recon.,"3,537 €","134,400 €"
"Pārdošanā Gaišs, Pilnībā Izremontēts 2 Istabu Dzīvoklis Rīgā – K",Klijanu 22,2,50,2/8,Recon.,"1,696 €","84,800 €"
Divstāvīgs dzīvoklis ar 3 vannas istabām un savu autostāvvietu.,Rupniecibas 48,3,60,2/2,New,"4,000 €","240,000 €"
"Skaistā Jaunceltnē, lieliskā apkaimē pārdošanā ir nonācis 2istab",Rupniecibas 48,2,35,2/4,New,"3,714 €","130,000 €"
"Skaists, mājīgs 3 istabu dzīvoklis Ģertrūdes ielā 24. Dzīvoklis",Gertrudes 24,3,86,4/5,Pre-war house,"2,674 €","230,000 €"
"Skaistā Jaunceltnē, lieliskā apkaimē pārdošanā ir nonācis trīs i",Rupniecibas 48,3,71,1/2,New,"3,239 €","230,000 €"
Māja ir nodota ekspluatācijā. Attīstītājs piedāvā dzīvokļus,Lachplesha 36,2,44,2/5,Recon.,"3,466 €","152,490 €"
Īpašnieks pārdod labā stāvoklī esošu 2 istabu dzīvokli ar kopējo,Stabu 78a,2,45,2/3,Pre-war house,"1,767 €","79,500 €"
Māja ir nodota ekspluatācijā. Attīstītājs piedāvā dzīvokļus,Lachplesha 36,3,64,5/5,Recon.,"3,776 €","241,680 €"
Spacious and bright 3-room apartment with its own balcony and pa,Senchu 7,3,87,1/5,New,"1,713 €","149,000 €"
Spacious and modern apartment with an exclusive view from the ba,Valdemara 39,3,149,7/7,Recon.,"1,543 €","229,900 €"
Plašs 2istabu dzīvoklis ar lieliem logiem uz slēgtu paglamu. Ir,Brivibas 146,2,57,1/5,Recon.,"1,402 €","79,890 €"
Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 107 kvadr,Republikas pl. 3,4,107,2/7,New,"2,009 €","215,000 €"
"Pārdošanā tiek piedāvāta tikko izremontēta, estētiski augstvērtī",Klijanu 22,1,30,1/8,Recon.,"1,967 €","59,000 €"
"Piedāvājam rezervācijai 61, 8 m² plašu 3 istabu dzīvokli vēsturi",Bruninieku 41,3,62,3/5,Pre-war house,"1,894 €","117,420 €"
Īpašnieks pārdod gaišu un funkcionālu 3 istabu dzīvokli ar kopēj,Pulkv. Briezha 9,3,98,3/8,Spec. pr.,"2,020 €","198,000 €"
Piedāvājam rezervācijai 4-istabu dzīvokli ar platību 82.8 m² vēs,Bruninieku 41,3,83,2/5,Pre-war house,"1,746 €","144,900 €"
Piedāvājam rezervācijai 2-istabu dzīvokli ar platību 29.7 m² vēs,Bruninieku 41,2,30,4/5,Pre-war house,"2,079 €","62,370 €"
Piedāvājam rezervācijai 30.2 m² plašu 2 istabu dzīvokli vēsturis,Bruninieku 41,2,30,2/5,Pre-war house,"1,963 €","58,890 €"
135 m² plašs un gaišs dzīvoklis renovētā vēsturiskā mājā Baznīca,Baznicas 45,5,133,4/5,Recon.,"2,030 €","270,000 €"
Eng. Exclusive Penthouse for Sale in the Modern Residential Proj,Chaka 134,4,135,6/6,New,"2,296 €","310,000 €"
Gaišs un tiešām kluss 2 istabu dzīvoklis centrā pagalma mājā ar,Brivibas 162k2,2,55,4/8,Spec. pr.,"1,800 €","98,999 €"
"Продаётся просторная и уютная 4-комнатная квартира площадью 107,",Brivibas 72/2,4,108,3/6,Pre-war house,"2,083 €","225,000 €"
Dzīvoklis atrodas Ērgļu iela 12 pie Sporta nams Daugava peldbase,Barona 110,3,73,1/3,Pre-war house,"2,233 €","163,000 €"
Pārdošanā tiek piedāvāts plašs un gaišs 3 istabu dzīvoklis ar ko,Skolas 30,3,91,5/6,Recon.,"1,380 €","125,600 €"
"Pārdod dzīvokli Rīgas centrā, klusā un pieprasītā rajonā. 2. s",Terbatas 93,4,93,2/6,Stalin project,"2,000 €","186,000 €"
"Tiek pārdots gaišs un mājīgs 3 istabu dzīvoklis 92, 6 m² platībā",Antonijas 16A,3,93,4/7,New,"3,118 €","290,000 €"
"Pārdod 47, 1 m² dzīvokli vēsturiskā 19. gadsimta tirgotāju namā",Elijas 8,3,47,2/2,Pre-war house,745 €,"35,000 €"
"Pārdod lielisku, gaišu un siltu 2 istabu dzīvokli Ģertrūdes ielā",Gertrudes 100,2,43,4/5,Spec. pr.,"1,581 €","68,000 €"
Pārdod. Brīnišķīgs divistabu dzīvoklis klusā centrālā vietā. Res,Rupniecibas 11,2,74,4/5,Recon.,"3,784 €","280,000 €"
Plašs studio dzīvoklis jaunajā projektā Klusajā centrā ar terasi,Rupniecibas 25,1,49,1/6,New,"3,263 €","159,900 €"
Pārdod mājīgu 2 istabu dzīvokli skaistā renovētā projektā “Rēder,Latgales 48,2,28,1/4,Recon.,"2,679 €","75,000 €"
"Pārdošanā saulains, kapitāli izremontēts mansarda dzīvoklis reno",Matisa 85,3,75,6/6,Recon.,"2,067 €","155,000 €"
"Pārdošanā dzīvoklis perspektīvā vietā Rīgas centrā, Lastādijā, E",Elijas 14,1,35,2/5,Pre-war house,"1,014 €","35,500 €"
"Divu istabu dzīvoklis Premium Klases ēkā, 5.stāvā. ""One Deve",Marijas 4,2,33,5/5,Recon.,"3,924 €","129,480 €"
Gaumīgs divstāvu dzīvoklis renovētā namā stilīgākajā Rīgas centr,Alauksta 7,2,36,2/2,Recon.,"3,194 €","115,000 €"
"Īpašnieks pārdod 3 istabu dzīvokli (2 guļamistabas, 2 sanmezgli)",Blaumana 11/13,3,81,2/5,Pre-war house,"3,123 €","253,000 €"
Pārdod gaišu un saulainu 33 m² dzīvokli Rīgas centrā ar ērtu un,Zvaigzhnu 26,1,33,2/5,Spec. pr.,"1,667 €","55,000 €"
"Pārdod plašu 4 istabu dzīvokli klusajā centrā, šogad tiks renovē",Petersalas 17,4,80,2/2,Pre-war house,619 €,"49,500 €"
Rīgas klusajā centrā plašs 3 istabu dzīvoklis par izdevīgu cenu.,Zala 7,3,99,2/3,Pre-war house,"1,515 €","150,000 €"
Piedāvājumā plašs un gaišs 2-istabu dzīvoklis jūgendstila pirmsk,Blaumana 36,2,77,3/5,Pre-war house,"2,797 €","215,350 €"
Pārdod gaišu un saulainu trīs istabu dzīvokli 80.3m3 platībā. Gr,Darzauglu 1,3,80,5/7,New,"2,238 €","179,000 €"
Tikko remontēts dzīvoklis Pārdod 3 - istabu dzīvokli ar augstas,Latgales 109,3,43,2/5,Recon.,"2,600 €","111,800 €"
Plašs un elegants 4 istabu dzīvoklis Stabu ielā – Rīgas centrā,Stabu 60,4,116,4/5,Recon.,"1,810 €","210,000 €"
Dzīvokļa priekšrocības: pārdomāts un ērts plānojums; gaišas,Klijanu 12,2,40,3/3,New,"2,125 €","85,000 €"
"Pārdod plašu 3 istabu dzīvokli pilsētas centrā, ēkas 2. stāvā.",Stabu 59,3,64,2/5,Pre-war house,"1,248 €","79,900 €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 3-is",Skanstes 12,3,79,1/12,New,"2,901 €","229,200 €"
Pārdošanā gaišs un saulains dzīvoklis Grīziņkalnā. Dzīvokļi,Zvaigzhnu 21,1,22,4/5,Pre-war house,"1,368 €","30,100 €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 5-is",Skanstes 12,5,105,2/12,New,"3,042 €","319,400 €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 4-is",Skanstes 12,4,99,2/12,New,"2,809 €","278,100 €"
"Attīstītājs ""Merko mājas"" piedāvā iegādāties energoefektīvu 2-is",Skanstes 6,2,53,1/12,New,"3,032 €","160,700 €"
Pārdod 2 istabu dzīvokli Rīgas centrā. Dzīvokļa kopējā platība,Stabu 104,2,49,3/5,Lit pr.,"1,622 €","79,500 €"
"Pārdošanā pieejamas 159, 7 m² plašas un gaišas telpas vienā no R",Vilandes 12,4,160,1/6,Pre-war house,"1,900 €","304,000 €"
Trīs istabu dzīvoklis jaunā projektā Rīgas centrā. Unikāla ies,Dzirnavu 85,3,59,2/7,New,"4,015 €","236,900 €"
"Pārdod saulainu, gaišu, plašu 3 istabu, pilnībā mēbelētu, ērta p",Tomsona 30,3,122,2/10,New,"2,869 €","350,000 €"
"Piedāvājam iegādāties elegantu 4 istabu dzīvokli Rīgas centrā, B",Brivibas 72,4,108,3/6,Pre-war house,"2,083 €","225,000 €"
Ekskluzīvs četru istabu dzīvoklis Rīgas vēsturiskajā centrā. I,Blaumana 20,4,108,2/7,New,"3,611 €","390,000 €"
Rīgas centrā tiek pārdots 2-istabu saulains un elegants dzīvokli,Brivibas 68,2,49,3/6,Recon.,"3,507 €","171,850 €"
Pārdošanā plašs četristabu dzīvoklis renovētā mājā pašā Rīgas ce,Brivibas 110,4,122,2/6,Pre-war house,"1,697 €","207,000 €"
Pārdošanā silts un saulains trīsistabu dzīvoklis netālu no Skans,Zirnu 5 k-2,3,60,4/9,467-th,"1,900 €","114,000 €"
Pārdošanā mājīgs divistabu dzīvoklis ar nesen veiktu svaigu remo,Chaka 121,2,54,6/6,Recon.,"1,389 €","75,000 €"
Двухкомнатная квартира в Centra nams. Планировка: - Простор,Republikas pl. 3,2,55,2/7,New,"3,273 €","179,990 €"
Pārdošanā gaišs un mājīgs dzīvoklis jaunajā projektā “Tomsona Te,Tomsona 30,4,105,3/9,New,"2,381 €","250,000 €"
Attīstītājs piedāvā iegādāties plašu 3 istabu dzīvokli jaunajā p,Skolas 17,3,86,2/7,New,"3,434 €","295,320 €"
"Zems 1. stāvs. Siltas, sausas, gaišas zema 1. stāva (vai augsta",Chaka 133,2,44,1/6,Pre-war house,579 €,"25,492 €"
"Pārdod investīciju dzīvokli Marijas ielā 8B, iekšpagalma ēkā",Marijas 8B,2,22,3/3,Pre-war house,"4,241 €","93,300 €"
Pārdod pilnībā izremontētu 2 istabu dzīvokli renovētā mājā Rīgas,Krasotaju 13a,2,30,3/5,Recon.,"2,767 €","83,000 €"
"Trīs līmeņu, 4 istabu dzīvoklis ar saunu, mājas kinozāli un unik",Brivibas 104,4,175,5/7,Spec. pr.,"1,400 €","245,000 €"
"Piedāvājam iegādei studio dzīvokli pēc kvalitatīva remonta, piln",Sadovnikova 39,1,27,7/7,Recon.,"2,512 €","67,830 €"
"Gaišs 2.stāva dzīvoklis pēc kvalitatīva remonta, pilnībā aprīkot",Sadovnikova 39,2,42,2/7,Recon.,"2,389 €","100,320 €"
Pārdošanā plašs un gaišs 2-istabu dzīvoklis Tērbatas ielā. D,Terbatas 59/61,2,65,3/7,Recon.,"2,726 €","177,200 €"
Attīstītājs un īpašnieks – kompāniju grupa “R. Evolution” – pārd,Strelnieku 5,4,118,2/7,New,"5,297 €","625,000 €"
Pārdod elegantu izsmalcināta dizaina dzīvokli Alberta ielā 1 pil,Alberta 1,6,209,5/5,Recon.,"3,565 €","745,000 €"
Samazināta Cena - Pēdējā Cena. Tiek pārdots gaišs un mājīgs 2,Lugazhu 4,2,47,5/5,Lit pr.,"1,085 €","51,000 €"
Moderns dizainera dzīvoklis mūsdienīgajā projektā pašā centrā.,Kungu 25,1,33,4/6,New,"3,636 €","120,000 €"
Īpašnieks pārdod gaišu un saulainu 2 istabu dzīvokli vienā no la,Blaumana 9A,2,51,5/6,Recon.,"4,500 €","229,500 €"
Četristabu dzīvoklis Skanstē ar skatu uz parku. Virtuve aprī,Grostonas 21,4,110,8/10,New,"3,136 €","345,000 €"
"Pārdod siltu, saulainu un mājīgu dzīvokli. Ir parkings un nolikt",Vesetas 10,2,66,5/7,Spec. pr.,"2,000 €","132,000 €"
Izsmalcināts 2-istabu dzīvoklis renovētā namā Rīgas centrā.,Chaka 26,2,53,5/7,Recon.,"3,113 €","165,000 €"
Gaišs 3 istabu dzīvoklis pēc kvalitatīva remonta 66 m² + 8 m² ba,Chaka 133,3,74,6/6,Pre-war house,"2,432 €","180,000 €"
"Kluss, silts dzīvoklis sētas mājas 1. stāvā. Logi iziet uz divām",Barona 108,1,25,1/5,Pre-war house,"1,800 €","45,000 €"
Divu līmeņu dzīvoklis ar pārdomātu plānojumu un lielu griestu au,Sadovnikova 29a,4,110,5/6,Recon.,"1,727 €","190,000 €"
"Unikāls dzīvoklis ar tiešu skatu uz Brīvības pieminekli, Bastejk",Brivibas 19,3,70,5/6,Pre-war house,"3,786 €","265,000 €"
"Tiek pārdots plašs četru istabu dzīvoklis Stabu ielā – vietā, ku",Stabu 61,4,94,1/5,Pre-war house,"1,755 €","165,000 €"
Pārdod 2 istabu studio tipa dzīvokli jaunajā projektā Vecrīgā. D,Kaleju 74,2,61,3/6,New,"2,459 €","150,000 €"
"Īpašnieki pārdod plašu, mājīgu un tikko renovētu 3 istabu dzīvok",Zala 3,3,80,1/4,Pre-war house,"2,738 €","219,000 €"
"Pārdošanā dzīvoklis pašā Rīgas centrā. Zemais pirmais stāvs, kop",Mīlenbaha 2,3,51,1/5,Pre-war house,902 €,"46,000 €"
Attīstītājs River properties piedāvā iegādāties elegantu un pārd,Skolas 17,3,89,3/7,New,"3,815 €","339,538 €"
Lv: Īpašnieks pārdod saulainu un gaišu dzīvokli pilsētas sirdī.,Lachplesha 48,2,50,6/6,Pre-war house,"2,500 €","125,000 €"
"Pārdod gaišu dzīvokli bez apdares Rīgas vēsturiskajā centrā, Kli",Klijanu 22,2,36,4/8,Recon.,749 €,"26,950 €"
"Pārdošanā gaišs un mājīgs 3 istabu dzīvoklis Rīgas centrā, Krāsl",Lachplesha 130,3,50,6/6,New,"2,600 €","130,000 €"
Studio tipa dzīvoklis ar pilnu apdari renovētā ēkā Donberga kvar,Gertrudes 60,1,19,1/5,Pre-war house,"2,874 €","54,600 €"
Pārdošanā gaumīgi labiekārtots studijas tipa dzīvoklis vienā no,Pulkv. Briezha 10,1,33,3/5,Pre-war house,"3,754 €","123,879 €"
Klusais un omulīgais studijas tipa dzīvoklis vērsts uz Klusā cen,Pulkv. Briezha 10,1,40,3/5,Pre-war house,"3,414 €","136,578 €"
К продаже предлагается уютная двухкомнатная квартира в Тихом цен,Pulkv. Briezha 10,2,42,3/5,Recon.,"3,443 €","144,585 €"
Pilnībā aprikots divistabu dzīvoklis ar vietu automašīnai pagalm,Aluksnes 3,2,38,1/5,Recon.,"2,053 €","78,000 €"
Iegādei pieejams ar sadzīves tehniku un korpusa mēbelēm aprīkots,Pulkv. Briezha 10,2,35,3/7,New,"3,822 €","133,773 €"
Reta iespēja iegādāties plašu 4-istabu dzīvokli Rīgas vēstniecīb,Elizabetes 35,4,129,4/4,Pre-war house,"2,248 €","290,000 €"
"Atvērta rezervācija. Dzīvokļi ar pilnu apdari renovētā ēkā,",Zvaigzhnu 21,1,21,3/5,Recon.,"2,354 €","49,440 €"
Lv Plašs un funkcionāls mājoklis Rīgas centrā – Lāčplēša ielā 4,Lachplesha 47,2,113,2/5,Recon.,"1,726 €","195,000 €"
Elegants 2 istabu dzīvoklis Rīgas klusajā centrā Pārdošanā pi,Pulkv. Briezha 10,2,47,3/5,Recon.,"3,906 €","183,600 €"
"Rīgas centrā tiek pārdots mājīgs un gaišs vienistabas dzīvoklis,",Stabu 104,1,28,1/5,Spec. pr.,"1,893 €","53,000 €"
"Pārdod 3-istabu dzīvokli Rīgas centrā, Krišjāņa Valdemāra ielā 1",Valdemara 135,3,79,5/5,Stalin project,"1,595 €","126,000 €"
Gaišs dzīvoklis renovētā vēsturiskā ēkā Rīgas centrā Pārdošan,Chaka 33,2,50,3/6,Recon.,"2,580 €","129,000 €"
"Dzīvoklis izceļas ar plašuma sajūtu un lieliem logiem, kas vērst",Eksporta 14,3,74,4/5,Stalin project,"2,228 €","164,900 €"
"Pārdod investīciju dzīvokli Marijas ielā 8B, iekšpagalma ēkā",Marijas 8b,2,22,2/3,Pre-war house,"4,045 €","89,000 €"
"Studio tipa investīciju dzīvoklis Marijas ielā 8B, iekšpagalma ē",Marijas 8b,1,21,2/3,Pre-war house,"4,019 €","84,400 €"
Pārdošanā ir unikāla bēniņu telpa vēsturiskā ēkā ar jau saskaņot,Bruninieku 89,Other,300,6/6,Pre-war house,300 €,"89,999 €"
Ar skatu uz upi Daugavu - ekskluzīvs divu līmeņu dzīvoklis Vecrī,Vecpilsetas 17,3,99,6/6,Pre-war house,"1,818 €","180,000 €"
"3-istabu 3.stāva kluss pagalma dzīvoklis, pēc kvalitatīva remont",Sadovnikova 39,3,50,3/7,Recon.,"2,405 €","120,240 €"
"Pārdodu gaišu, pilnībā renovētu mansarda dzīvokli ar jaunu mēbel",Barona 80,2,46,5/5,Pre-war house,"1,587 €","73,000 €"
"Pārdodu gaišu, pilnībā renovētu mansarda dzīvokli ar jaunu mēbel",Barona 80,3,74,5/5,Pre-war house,"2,068 €","153,000 €"
Elegants 3 istabu dzīvoklis Merks “Viesturdārza mājas” projektā.,Rupniecibas 21,3,94,3/7,New,"3,394 €","319,000 €"
"Продаётся 2-комнатная квартира с ремонтом в центре Риги, по адре",Brivibas 129,2,58,2/6,Pre-war house,"2,069 €","120,000 €"
Design mansard apartment in the Art Nouveau district A spacious,Dzirnavu 4,2,73,5/5,Pre-war house,"2,260 €","165,000 €"
Īpašnieks pārdod tikko renovētu dzīvokli vēsturiskā ēkā - Donber,Lachplesha 61,3,61,5/6,Recon.,"2,934 €","179,000 €"
Īpašnieks pārdod tikko renovētu dzīvokli vēsturiskā ēkā - Donber,Lachplesha 61,2,46,5/6,Recon.,"2,957 €","136,000 €"
Piedāvājumā skaists un plašs dzīvoklis renovētā pirmskara namā p,Dzirnavu 53,4,119,5/5,Recon.,"3,997 €","475,650 €"
Īpašnieks pārdod telpas dzīvoklim/birojam pašā Rīgas centrā. Ir,Tomsona 11,3,88,1/5,Stalin project,"1,600 €","140,800 €"
Elegants dzīvoklis vēsturiskā namā Rīgas centrā Elizabetes ielā,Elizabetes 22,3,136,2/6,Recon.,"4,963 €","675,000 €"
Pārdošanā pieejams divistabu dzīvoklis ar lielisku skatu projekt,Latgales 109,2,43,4/5,Recon.,"1,497 €","64,375 €"
"Ekskluzīvs piecu istabu dzīvoklis 157 m² Jaunzema namā (1901), a",Blaumana 36,5,158,5/5,Pre-war house,"1,835 €","290,000 €"
Tiek pārdots 2-istabas dzīvoklis Rīgas centra klusajā rajonā. Vi,Klijanu 12,2,37,3/3,Recon.,"2,378 €","88,000 €"
Īpašnieks pārdod dzīvokli centrā. Dzīvoklis remontējams. Liels z,Ierochu 6,1,16,1/2,Pre-war house,781 €,"12,500 €"
"2-х комнатная квартира 43.8 м2 в новом центре по отличной цене,",Katrinas d. 6,2,44,1/3,Recon.,"1,820 €","80,100 €"
"Pārdod 2 istabu dzīvokli Rīgas centrā, Tērbatas ielā 20. Dzīvokl",Terbatas 20,2,33,3/6,Recon.,"3,321 €","109,600 €"
"Dzīvokļi ar pilnu apdari renovētā ēkā, Grīziņkalnā. Dzīvojiet",Zvaigzhnu 21,2,29,4/6,Recon.,"2,400 €","69,600 €"
"Pārdod dzīvokli Rīgas klusajā centrā, vēsturiskā namā. Dzīvo",Baznicas 27/29,3,81,2/5,Pre-war house,"1,852 €","150,000 €"
Lat/ Unikāla investīciju iespēja: kompakts divistabu dzīvoklis p,Chaka 26,2,42,1/6,Recon.,"2,543 €","106,800 €"
"Pagalma ēka, labiekārtota apzaļumota teritorija, slēgts pagalms,",Terbatas 82,2,58,1/5,Pre-war house,"1,550 €","89,900 €"
Pārdošanā plašs un kvalitatīvi remontēts 78 m² 3 istabu dzīvokli,Stabu 62,3,78,2/5,Recon.,"2,756 €","215,000 €"
Piedāvājam iegādāties plašu 3 istabu dzīvokli ar atsevišķu virtu,Mīlenbaha 1,3,73,2/6,Recon.,"2,048 €","149,500 €"
Pilnībā mēbelēts studio tipa dzīvoklis jaunajā projektā Dainas –,Dainas 10a,1,27,3/7,New,"3,700 €","99,900 €"
"Attīstītājs pārdod modernu, pilnībā mēbelētu 3 istabu dzīvokli j",Dainas 10a,3,60,4/7,New,"3,680 €","220,800 €"
"Kapitāli izremontēts, omulīgs 1-istabas dzīvoklis, kurš gatavs i",Vagonu 14,1,22,1/2,Pre-war house,"1,750 €","38,500 €"
Pārdod dzīvokli vienā no pieprasītākajām Rīgas centra vietām – l,Hospitalu 1,2,46,6/8,Spec. pr.,"1,826 €","84,000 €"
Mūsdienīgs 2-istabu dzīvoklis pie Viesturdārza - Klusais centrs.,Rupniecibas 21,2,74,2/7,New,"3,378 €","250,000 €"
Pretim Dailes teātrim pagalma ēkas piektajā stāvā pārdošanā ir t,Brivibas 84,3,72,5/6,Pre-war house,"2,069 €","149,000 €"
"Pārdošanā gaišs, plašs un praktiski jauns dzīvoklis aptuveni 76",Chaka 134,2,76,5/6,New,"2,618 €","199,000 €"
"Terase, dizainera veidota apdare. Pagalmā vieta automašīnai. K",Dzirnavu 92,4,132,4/5,Recon.,"3,258 €","430,000 €"
"Pārdodam kompaktu, kvalitatīvi remontētu vienistabas dzīvokli Br",Bruninieku 93,1,26,4/4,Pre-war house,"2,000 €","52,000 €"
"Продается просторная, солнечная, полностью меблированная двухком",Chaka 143,2,62,4/5,Recon.,"1,589 €","98,500 €"
"Izbaudiet Klusā centra šarmu – vēsturiska vide, izcila lokācija",Pulkv. Briezha 10,2,42,4/5,Pre-war house,"3,742 €","157,182 €"
"Dzīve Klusajā centrā – vietā, kur vēsturiskā elegance satiekas a",Pulkv. Briezha 10,2,35,5/7,New,"3,917 €","137,088 €"
Tavas jaunās mājas - elegants 3 istabu dzīvoklis Rīgas vēsturisk,Lachplesha 36,3,60,4/6,Recon.,"4,250 €","255,000 €"
Pārdod dzīvokli Ģertrūdes ielā. Pārdošanā 1-istabas dzīvokli,Gertrudes 78,1,34,5/6,Spec. pr.,"1,706 €","58,000 €"
Īpašnieks pārdod plašu 3 istabu dzīvokli 88 m² projektā “Skanste,Grostonas 21,3,88,1/8,New,"2,385 €","209,900 €"
"Pārdod remontējamus mansarda dzīvokļus Rīgas centrā, Tērbatas ie",Terbatas 16/18,5,108,5/5,Pre-war house,"1,176 €","127,000 €"
Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49 Mūsdienīga,Hospitalu 49,4,103,6/8,New,"3,350 €","345,000 €"
"Pārdodās 1 Istanbul dzīvoklis. Dzīvoklis ir gaišs, majigs, sil",Brivibas 117,1,21,3/3,Stalin project,"1,286 €","27,000 €"
Pārdošanā plašas un kvalitatīvi iekārtotas komerctelpas Rīgas Kl,Ausekla 5,4,136,1/5,Recon.,"2,059 €","280,000 €"
Pārdod plašu 3 istabu dzīvokli ar panorāmas skatu prestižajā pro,J. Dalina 8,3,111,16/24,New,"2,973 €","330,000 €"
Pārdod vienistabas dzīvokli centrā pēc remonta. Nomainīta elektr,Valmieras 21,1,31,2/3,Pre-war house,"1,226 €","38,000 €"
Iespēja iegādāties kapitāli izremontētu un pilnībā mēbelētu stud,Chaka 109,1,53,2/6,Pre-war house,"1,943 €","103,000 €"
Piedāvājumā 94 m² plašs un gaišs 3 istabu dzīvoklis vienā no pre,Rupniecibas 21,3,94,2/7,New,"3,053 €","287,000 €"
"Terase, izsmalcināta arhitektūra un mūsdienīgs komforts – šis 3",Valdemara 41A,3,64,5/8,New,"4,094 €","262,000 €"
"Attīstītājs pārdod dzīvokli telpas renovētā projektā ""Šefela nam",Baznicas 5,3,54,1/5,Recon.,"1,583 €","85,500 €"
"Atīstītājs pārdod 2 istabu dzīvokli renovētā projektā ""Šefela na",Baznicas 5,2,40,2/5,Recon.,"4,160 €","166,415 €"
"Atīstītājs pārdod 2 istabu dzīvokli renovētā projektā ""Šefela na",Baznicas 5,2,45,2/5,Recon.,"3,692 €","166,130 €"
Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49 Mūsdienīga,Hospitalu 49,3,61,2/8,New,"3,108 €","189,599 €"
Jaunais dzīvokļu projekts Rīgā – Hospitāļu iela 49 Mūsdienīga,Hospitalu 49,2,45,2/8,New,"3,169 €","142,624 €"
Pārdod kvalitatīvi remontētu mūsdienīgu 3 istabu dzīvokli Rīgas,Ganu 4,3,90,2/5,Recon.,"3,500 €","315,000 €"
Экспорта 12 Просторная 3-Комнатная Квартира В Тихом Центре Риги,Eksporta 12,3,79,1/7,Recon.,"1,835 €","145,000 €"
Pārdošanā pilnībā aprīkots 2 istabu dzīvoklis Klusajā Centrā.,Pulkv. Briezha 7,2,60,1/6,Pre-war house,"2,467 €","148,000 €"
Pilnībā atjaunots dizaina dzīvoklis Rīgas centrā – Baznīcas ielā,Baznicas 27,4,158,5/5,Pre-war house,"3,734 €","590,000 €"
Pārdod studio tipa dzīvokli Klusajā centrā Dzīvoklis sastāv n,Dzirnavu 37,1,25,3/7,Recon.,"3,816 €","95,400 €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",Vashingtona pl. 2,3,83,1/5,Recon.,"2,897 €","240,488 €"
Pilna apdare Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klus,Vashingtona pl. 2,3,73,1/5,Recon.,"3,104 €","226,610 €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,Sadovnikova 30,2,35,2/5,Recon.,"2,457 €","86,000 €"
"78 m² Rīgas centrā. Ievācies un dzīvo. Gaišs, pilnībā dzīvošan",Akas 4,3,78,5/7,New,"3,782 €","295,000 €"
