description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
"Pārdod skaistu, pilnībā mēbelētu 3 istabu dzīvokli Rīgas centrā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedfpb.html,Chaka 30a,3,70,6/7,Recon.,"3,357 €","235,000  €"
Jūsu uzmanībai stilīgs 3 istabu dzīvoklis pilsētas centrā pēc ka,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adbgb.html,Lugazhu 6,3,62,4/5,Lit pr.,"1,565 €","97,000  €"
Pārdodas nekustamais īpašums ar milzīgu potenciālu pašā Rīgas si,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bednkg.html,Blaumana 25,3,82,1/5,Pre-war house,"1,073 €","88,000  €"
"Īpašnieks pārdod divstāvu penthausu ar pilnu apdari, dzīvoklis a",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gfogx.html,Rupniecibas 50,5,138,6/7,New,"2,971 €","410,000 €"
Unikāls 130 m² dzīvoklis Rīgas centrā ar autostāvvietu un iespēj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebdxd.html,Lachplesha 70B,5,130,3/6,Pre-war house,"1,769 €","230,000  €"
"Pārdodu 1-istabas dzīvokli Rīgas centrā, ļoti labā vietā, strauj",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acxpj.html,Asara 12a,1,21,1/2,Pre-war house,738 €,"15,499  €"
Продаю 1 комнатную квартиру со всеми удобствами. Зарегистрирован,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gggnf.html,Bruninieku 92B,1,32,2/3,Pre-war house,"1,125 €","36,000  €"
2-istabu dzīvoklis ar plašu terasi un skatu uz pievilcīgu pilsēt,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dblce.html,Stabu 77,2,79,6/6,Recon.,"1,709 €","135,000  €"
"Gaišs un plašs dzīvoklis bez remonta renovētā namā. 
Dzīvokļa p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcxnje.html,Lachplesha 35,3,89,3/6,Recon.,"1,656 €","147,378  €"
"Ļoti gaišs, pilnībā atjaunots 3 istabu dzīvoklis 6. stāvā, foršā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/affgx.html,Avotu 8k - 1,3,64,6/6,Pre-war house,"2,469 €","158,000  €"
Pārdošanā plašs dzīvoklis vienā no pieprasītākajām Rīgas centra,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcohxb.html,Skolas 22a,3,125,2/6,Pre-war house,"1,816 €","227,000  €"
Pārdošanā gaišs un mājīgs studijas tipa mansarda dzīvoklis pilnī,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ehxci.html,Artilerijas 52,1,28,5/5,Recon.,"3,393 €","95,000  €"
Pārdod elegantu klasiskā stila dzīvokli pilnībā renovētā jūgends,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gcjkg.html,Alberta 1,5,161,2/5,Recon.,"4,783 €","770,000  €"
Pārdošanā gaišs un telpisks dzīvoklis 157.7 m2 platībā vienā no,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcbchl.html,Maiznicas 12,5,158,4/5,Pre-war house,"2,215 €","350,000  €"
Pārdod divu līmeņu dzīvokli ar iespēju pabeigt apdari pēc saviem,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclxnb.html,Eksporta 12,5,108,7/7,Recon.,"2,037 €","220,000  €"
"Īpašnieks pārdod plašu, gaišu 2-istabu mansarda dzīvokli pilnībā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclghf.html,Stabu 99,2,67,6/6,Recon.,"2,060 €","138,000  €"
Īpašnieks pārdod telpas dzīvoklim/birojam pašā Rīgas centrā. Ir,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eockg.html,Tomsona 11,3,83,1/5,Stalin project,"1,606 €","133,270  €"
Piedāvājam iegādāties modernu 3 istabu dzīvokli ar pilnu apdari,https://www.ss.com/msg/en/real-estate/flats/riga/centre/agleo.html,Blaumana 20,2,68,2/7,New,"3,940 €","267,900  €"
