description,url,Street,R.,m²,Floor,Series,"Price, m2",Price
"Pārdošanā stilīgs mansarda tipa dzīvoklis renovētā mājā. 
Dzīvo",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjmmj.html,Klusa 16,2,47,5/5,Recon.,979 €,"46,000  €"
"Elegants 4 istabu dzīvoklis ar panorāmas skatu, plašu terasi , p",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gflhc.html,J. Dalina 8,4,227,19/24,New,"3,040 €","690,000  €"
Pārdošanā elegants divistabu dzīvoklis renovētā vēsturiskā ēkā R,https://www.ss.com/msg/en/real-estate/flats/riga/centre/alxik.html,Brivibas 68,2,45,2/6,Recon.,"3,531 €","158,900  €"
Elegant Penthouse Residence in the Quiet Centre – Ausekļa 14.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/algbd.html,Ausekla 14,4,241,6/6,New,"6,556 €","1,580,000  €"
"Piedāvājam pārdošanai 2-istabu dzīvokli jaunajā projektā ""Ģertrū",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dpgxd.html,Gertrudes 65,2,56,3/6,New,"2,874 €","160,950  €"
Dzīvoklis pašā centrā gaida savu jauno īpašnieku. No šī dzīvokļa,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dmkcl.html,Brivibas 148,3,99,2/6,Pre-war house,"1,202 €","119,000  €"
"Ekonomisks un ērts studijas tipa dzīvoklis. 
+ pirmskara ēka, k",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajfmj.html,Gertrudes 91A,1,15,2/5,Pre-war house,"1,767 €","26,500  €"
Divistabu dzīvoklis ar svaigu un gaumīgu remontu. Remontdarbu la,https://www.ss.com/msg/en/real-estate/flats/riga/centre/addod.html,Artilerijas 66,2,42,2/2,Pre-war house,"1,762 €","74,000  €"
Dzīvoklis Grīziņkalnā – lieliskā vietā ar visu nepieciešamo infr,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cdggg.html,Alauksta 9,4,98,1/6,New,"2,245 €","220,000  €"
"Divlīmeņu dzīvoklis renovētā mājā, kura atrodas pašā Rīgas centr",https://www.ss.com/msg/en/real-estate/flats/riga/centre/adfxi.html,Raina boul. 19,4,144,6/6,Recon.,"2,736 €","394,000  €"
"Divu līmeņu dzīvoklis ar lielu griestu augstumu, panorāmas skatu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cihlg.html,Sadovnikova 29A,5,134,5/6,Recon.,"2,209 €","296,000  €"
"Plašs un gaišs 4 istabu dzīvoklis Rīgas centrā, renovētā un labi",https://www.ss.com/msg/en/real-estate/flats/riga/centre/alckd.html,Gertrudes 77,4,112,3/5,Recon.,"2,223 €","249,000  €"
Projekta attīstītājs un īpašnieks – kompāniju grupa R. Evolution,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cncfn.html,Strelnieku 8,3,224,2/7,New,"1,973 €","442,000  €"
"Kompāniju grupa R. Evolution, projekta attīstītājs un īpašnieks,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bckkon.html,Strelnieku 5,3,108,3/7,New,"4,722 €","510,000  €"
Dzīve virs Skanstes zaļās zonas 110 m² dzīvoklis 8. stāvā ar pla,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfcjmk.html,Grostonas 21,4,110,8/10,New,"3,136 €","345,000  €"
"Rīgas centrā dzīvokļu piedāvājums ir plašs, taču tikai daži apvi",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fliil.html,Brivibas 46,2,73,3/6,Recon.,"3,356 €","245,000  €"
Piedāvājam jaunu un elegantu dzīvokli renovētā ēkā pašā Rīgas ce,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bebkoj.html,Raina boul. 27,2,45,2/6,Recon.,"5,556 €","250,000  €"
Pārdot mēbelētu 3-istabu dzīvokli renovētā ēkā ar remontētu kāpņ,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajnmj.html,Terbatas 33,3,77,6/6,Recon.,"3,026 €","233,000  €"
"Tiek pārdots saulains 2-istabu dzīvoklis Rīgas centrā, klusā vie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dcxgl.html,Indranu 2,2,46,3/5,103-th,"1,848 €","85,000  €"
Продаётся просторная и светлая трёхкомнатная квартира с полность,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ggfpg.html,Valdemara 106,3,90,5/7,Stalin project,"2,444 €","220,000  €"
Attīstītājs pārdod 4 istabu dzīvokli renovētā A klases energoefe,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjlfx.html,Dagdas 4,4,98,2/4,Recon.,"2,551 €","250,000  €"
Pārdod stilīgu un mūsdienīgu četristabu dzīvokli Rīgas centrā –,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dodjo.html,Birznieka-Upisha 1..,4,83,5/5,Recon.,"2,952 €","245,000  €"
"Elegants 4 istabu dzīvoklis ar panorāmas skatu, plašu terasi dzī",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afxph.html,J. Dalina 8,4,227,19/24,New,"3,040 €","690,000  €"
"Lv: Tiek pārdots mājīgs vienistabas dzīvoklis 38, 5 m² platībā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/afefk.html,"Mastu 8, k-1",1,39,3/5,Recon.,"1,667 €","65,000  €"
Tiek pārdots kvalitatīvi renovēts 4 istabu dzīvoklis Skolas ielā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gbnib.html,Skolas 22a,4,114,5/6,Pre-war house,"2,800 €","319,240  €"
Grezns dzīvoklis ar balkonu un panorāmas skatu uz pilsētas kanāl,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjfgp.html,Meierovics boul. 4,3,146,4/6,Pre-war house,"2,466 €","360,000  €"
Pārdošanā elegants un plašs 3–4 istabu dzīvoklis vienā no presti,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpigb.html,Elizabetes 12,4,124,5/5,Recon.,"3,210 €","398,000  €"
"Investīciju objekts Rīgas centrā – 2 mansarda dzīvokļi. 

Pied",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjnng.html,Barona 70,5,81,3/3,Pre-war house,"1,481 €","120,000  €"
"Mansarda dzīvoklis Rīgas aktīvajā centrā. 

Piedāvājam iegādāt",https://www.ss.com/msg/en/real-estate/flats/riga/centre/benphe.html,Barona 70,2,40,3/3,Pre-war house,"1,500 €","60,000  €"
"Ja meklējat dzīvokli ar lielu potenciālu, šis piedāvājums ir dom",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ejxej.html,Mīlenbaha 2,3,85,4/5,Pre-war house,"1,175 €","99,900  €"
"Tiek piedāvāts plašs 6 istabu dzīvoklis pilsētas centrā, kas šob",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedenm.html,Dagdas 4,6,121,3/5,Recon.,"1,446 €","175,000  €"
"Pārdošu bez starpniekim. 
pašā Rīgas centrā:
Dzīvoklis ar divā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/exnkh.html,Merkela 6,6,147,2/5,Pre-war house,"1,939 €","285,000  €"
Piedāvājumā elegants un funkcionāli plānots 4 istabu dzīvoklis v,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bibgm.html,Birznieka-Upisha 1..,4,111,5/7,New,"2,532 €","281,000  €"
"Pārdod mājīgu studio tipa dzīvokli renovētā ēkā. 

Dzīvoklī ir",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bpnnx.html,Marijas 14,1,19,6/6,Recon.,"3,679 €","69,900  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddnxe.html,Sadovnikova 30,2,45,3/5,Recon.,"2,413 €","108,600  €"
Attīstītājs piedāvā iegādāties dzīvokli pilnībā renovētā mājā Da,https://www.ss.com/msg/en/real-estate/flats/riga/centre/exmem.html,Sadovnikova 30,2,30,3/5,Recon.,"2,443 €","73,300  €"
"Dzīvokļi ar pilnu apdari renovētā ēkā, Grīziņkalnā. 
Dzīvojiet",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gpmhi.html,Zvaigzhnu 21,1,22,4/6,Recon.,"2,356 €","51,840  €"
"Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36.

Ēka",https://www.ss.com/msg/en/real-estate/flats/riga/centre/egjco.html,Lachplesha 36,2,44,2/5,Recon.,"3,466 €","152,490  €"
"Ekskluzīvs dzīvoklis Rīgas sirdī – projektā ""Raiņa nams"" 

Tie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfdinj.html,Raina boul. 27,1,21,1/5,Recon.,"4,754 €","99,840  €"
Attīstītājs pārdod penthouse tipa dzīvokli Nr. 14 ir ar plašu pa,https://www.ss.com/msg/en/real-estate/flats/riga/centre/acdmi.html,Skolas 17,3,169,7/7,New,"3,831 €","647,500  €"
Pārdošana četru istabu dzīvoklis centrā. Dzīvoklis labā stāvoklī,https://www.ss.com/msg/en/real-estate/flats/riga/centre/acfin.html,Birznieka-Upisha 2..,4,102,2/5,Recon.,"1,961 €","200,000  €"
Renovēta mājā 2 istabu dzīvoklis ar plašu halli Rīgas centrā.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedxgh.html,Lachplesha 116,2,53,5/6,Recon.,"1,575 €","83,500  €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",https://www.ss.com/msg/en/real-estate/flats/riga/centre/behlxi.html,Vashingtona pl. 2,2,42,2/5,Recon.,"3,217 €","135,117  €"
Pārdod 3 istabu dzīvokli Skanstes mājās – mūsdienīgs īpašums Rīg,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ddnfj.html,Grostonas 19,3,88,5/10,New,"3,409 €","300,000 €"
"Viesturdārza Rezidence ir dzīvojamā ēka Rīgas klusajā centrā, ku",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bieei.html,Vashingtona pl. 2,3,90,3/5,Recon.,"3,948 €","355,354  €"
Pārdod plašu 4 istabu dzīvokli Rīgas centrā – Blaumaņa iela 21,https://www.ss.com/msg/en/real-estate/flats/riga/centre/algbk.html,Blaumana 21,4,139,6/6,Pre-war house,"1,547 €","215,000 €"
"Jauna cena. Labdien. Piedāvājam divus dzīvokļus vienā, labi uztu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cxebo.html,Avotu 3,4,117,2/5,Pre-war house,"1,496 €","175,000 €"
Iegādei tiek piedāvāts 2 istabu dzīvoklis pilnībā rekonstruētā k,https://www.ss.com/msg/en/real-estate/flats/riga/centre/behdii.html,Murnieku 12,2,41,1/2,Recon.,"2,470 €","101,250  €"
Piedāvājumā 1-istabas dzīvoklis ar plašu guļamistabu Rīgas centr,https://www.ss.com/msg/en/real-estate/flats/riga/centre/beboxh.html,Gertrudes 43,1,33,4/5,Pre-war house,"2,394 €","79,000  €"
Piedāvājumā gaišs un mājīgs 3 istabu dzīvoklis 4. stāvā ēkā ar l,https://www.ss.com/msg/en/real-estate/flats/riga/centre/gjchc.html,Valdemara 106,3,90,4/8,Stalin project,"2,078 €","187,000  €"
"Premium klases dzīvokļi Rīgas centrā – Lāčplēša ielā 36.

Ēka",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfeobc.html,Lachplesha 36,2,34,1/5,New,"3,311 €","112,560  €"
Pārdod 2 istabu dzīvokli Pulkveža Brieža ielā 15. Dzīvoklis atro,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcilfd.html,Pulkv. Briezha 15,2,37,3/7,Recon.,"2,919 €","108,000  €"
"Pārdod funkcionālu studio tipa dzīvokli Klusajā centrā, pie Andr",https://www.ss.com/msg/en/real-estate/flats/riga/centre/binmn.html,Eksporta 4,1,42,1/5,Pre-war house,"1,167 €","49,000 €"
Piedāvājumā 3 istabu dzīvokli (divas izolētas istabas) Rīgas cen,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fepji.html,Gertrudes 43,3,71,4/5,Pre-war house,"2,324 €","165,000  €"
"Plašums, gaisma un miera sajūta Alauksta ielā 9.

Pārdošanā pl",https://www.ss.com/msg/en/real-estate/flats/riga/centre/aenko.html,Alauksta 9,2,69,2/6,New,"2,028 €","139,900  €"
Attīstītājs tirgo pilnībā ar mēbelēm aprīkotu un ar sadzīves teh,https://www.ss.com/msg/en/real-estate/flats/riga/centre/aelml.html,Alauksta 7,2,33,1/2,Recon.,"4,242 €","140,000  €"
Īpašnieks pārdod lielisku dzīvokli izdevīgā atrašanās vietā – mā,https://www.ss.com/msg/en/real-estate/flats/riga/centre/blcie.html,Gertrudes 22,5,203,5/6,Pre-war house,"1,576 €","320,000  €"
Mansarda tipa 6 - istabu dzīvoklis ar savu privātu torni un 360,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eijdo.html,Terbatas 93/95,6,224,6/6,Stalin project,"1,330 €","298,000  €"
Dzīvoklis ar vēsturisku šarmu. Dzīvoklis fasādes mājā ar logiem,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bciged.html,Kalnina 8,6,220,2/5,Pre-war house,"1,318 €","290,000  €"
"Kluss, saulains 2 - istabu dzīvoklis Nr. 41. Pēc remonta būs pie",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ggkpx.html,Chaka 133,2,46,2/6,Pre-war house,"1,380 €","63,488  €"
"2 istabu dzīvoklis Rīgas centrā ar autostāvvietu. 

Dzīvoklis",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cielk.html,Stabu 49,2,34,5/5,Pre-war house,"2,500 €","85,000  €"
"Piedāvājumā 3 istabu dzīvoklis Rīgas centrā. 

Dzīvoklis ir pl",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdpgnp.html,Valdemara 72A,3,59,2/5,Chrusch.,"1,864 €","110,000  €"
Pārdošanā ir kompakts divu istabas dzīvoklis un lielisks investī,https://www.ss.com/msg/en/real-estate/flats/riga/centre/chldb.html,Miera 103,2,49,1/5,New,"3,010 €","147,500 €"
"Pārdod plašu un gaišu 8 istabu dzīvokli Rīgas centrā. 
Dzīvokli",https://www.ss.com/msg/en/real-estate/flats/riga/centre/diiof.html,Brivibas 100c,Other,176,2/2,Recon.,966 €,"170,000  €"
Pārdod skaistu un plašu 3 istabu istabu dzīvokli pašā Rīgas cent,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afjgx.html,Skolas 20,3,98,6/7,Recon.,"3,571 €","350,000  €"
"Pārdod plašu 6 istabu dzīvokli Rīgas centrā. 
Dzīvoklis atrodas",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcngm.html,Brivibas 100c,6,124,1/2,Recon.,927 €,"115,000  €"
Ekonomisks dzīvoklis pirmskara mūra mājā par ļoti labu cenu. Ska,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclbgm.html,Chaka 133,2,46,2/6,Pre-war house,"1,380 €","63,500  €"
"Neliels Māksliniecisks Studio pašā centrā ielas mājā. 
Pelnošs",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfdgng.html,Skolas 22,1,17,4/4,Pre-war house,"3,088 €","52,500  €"
Дом 1910 года постройки от архитектора Эрнеста Поле (к слову око,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ephgb.html,Stabu 6,6,126,1/6,Pre-war house,"1,048 €","132,000  €"
"Квартира 13- для тех, кто верит не в приметы, а в выгодные возмо",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ghnjh.html,Stabu 6,2,66,2/6,Pre-war house,"1,364 €","90,000  €"
Īpašnieks pārdod dzīvokli centrā ar visām ērtībām. Māja nesen re,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdkmi.html,Murnieku 14,1,20,1/2,Recon.,"1,750 €","35,000  €"
"Auto stāvvieta (P)- automašīnai slēgtā pagalmā, iezīmētā vietā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dickd.html,Deglava 42,1,25,2/2,Pre-war house,"1,984 €","49,600  €"
"Slēgta, labiekārtota noliktavas telpa pašā Rīgas centrā. 

Par",https://www.ss.com/msg/en/real-estate/flats/riga/centre/doekh.html,Merkela 7,1,10,1/5,Recon.,"1,300 €","13,000  €"
"Pārdod patīkamu un plašu 4 istabu dzīvokli Skolas ielā, Rīgas ce",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ahxei.html,Skolas 22a,4,110,3/6,Pre-war house,"2,500 €","275,000  €"
Pārdod plašu un gaišu 4 istabu dzīvokli mūsdienīgā 2018. gadā bū,https://www.ss.com/msg/en/real-estate/flats/riga/centre/flgbl.html,Chaka 134,4,96,3/6,New,"2,490 €","239,000  €"
Pārdod Divstāvu Penthaus 6. UN 7. Stāvā 138 m² + 122 m² Terase,https://www.ss.com/msg/en/real-estate/flats/riga/centre/beexlx.html,Chaka 134,5,260,7/7,New,"1,462 €","380,000  €"
"Dzīvoklim ir pārdomāts un funkcionāls plānojums, kas nodrošina ē",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cbjhh.html,Grostonas 21,4,110,8/10,New,"3,136 €","345,000  €"
Skaists mēbelēts dzīvoklis ar ērtu plānojumu centrālā lokācijā:,https://www.ss.com/msg/en/real-estate/flats/riga/centre/alogl.html,Dzirnavu 115,2,47,4/4,Pre-war house,"2,755 €","129,500  €"
Pārdodam mājīgu divistabu dzīvokli ar savu slēgtu teritoriju. Li,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hbjnn.html,Matisa 84,2,25,1/2,Pre-war house,756 €,"18,900  €"
"Studio tipa investīciju dzīvoklis Marijas ielā 8B, iekšpagalma ē",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cgkib.html,Marijas 8B,1,21,3/3,Pre-war house,"4,219 €","88,600  €"
38 + 33 m2 = Pārdodu Kapitāli remontētu dzīvokli + komerciālās t,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dnnbm.html,Avotu 66A,3,71,1/5,Recon.,"1,563 €","111,000  €"
"Māja vai liels divlīmeņu Dzīvoklis ar ideālu lokāciju? 

Pārdo",https://www.ss.com/msg/en/real-estate/flats/riga/centre/gceje.html,Brivibas 281,5,112,5/6,Spec. pr.,"1,455 €","163,000  €"
"Pārdošanā atjaunots, gaišs un kvalitatīvs trīs istabu dzīvoklis",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dmkik.html,Brivibas 72,3,82,5/5,Pre-war house,"2,354 €","193,000  €"
"""Aleksandra Apartments"" - pārdodu trīs istabu dzīvokli jaunajā,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedmmj.html,Ausekla 4,3,80,3/7,New,"2,738 €","219,000  €"
"Colonel’S House ir Jūsu iespēja radīt mājvietu tieši tādu, kādu",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bplho.html,Pulkv. Briezha 15,2,48,2/7,Recon.,"3,187 €","152,960  €"
"Предлагается квартира в Тихом центре Риги, в полностью реновиров",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ejfdp.html,Rupniecibas 11,2,75,4/5,Recon.,"3,867 €","290,000  €"
"Īpašnieks pārdod siltu, gaišu, mājīgu un ērtu dzīvokli pirmskara",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bckmbf.html,Tallinas 9,3,46,3/4,Pre-war house,"1,424 €","65,500 €"
"Māja tiek izpārdota pa atsevišķiem dzīvokļiem, kas dod iespēju i",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dxlik.html,Chaka 133,1,32,4/6,Pre-war house,"1,469 €","47,000  €"
3 istabu dzīvoklis Centrā - peļņa gadā ~7%. Ideāli piemērots gan,https://www.ss.com/msg/en/real-estate/flats/riga/centre/affxj.html,Lachplesha 52,3,56,2/5,Pre-war house,"2,313 €","129,500  €"
"Pārdošanā renovēts 2 istabu dzīvoklis Rīgas centrā

Adrese: Ma",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ailxc.html,Matisa 101,2,45,1/5,Recon.,"2,178 €","98,000  €"
"Pārdošanā gaišs, plašs un funkcionāli izplānots 2 istabu dzīvokl",https://www.ss.com/msg/en/real-estate/flats/riga/centre/fpbjk.html,Rupniecibas 34A,2,57,5/6,New,"2,895 €","165,000  €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afdxm.html,Brivibas 190,1,26,2/6,Recon.,"1,606 €","41,743  €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cddcp.html,Brivibas 190,1,25,2/6,Recon.,"1,670 €","41,743  €"
"Plašas telpas vēsturiskā namā klusajā centrā. 

Tiek piedāvāta",https://www.ss.com/msg/en/real-estate/flats/riga/centre/eogbc.html,Vilandes 12,5,160,2/5,Recon.,"1,750 €","280,000  €"
Attīstītājs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,https://www.ss.com/msg/en/real-estate/flats/riga/centre/ghffn.html,Brivibas 190,3,44,2/6,Recon.,"1,746 €","76,825  €"
"Iekšpagalma ēka. 
Attīstītājs piedāvā iegādāties dzīvokļus 1912",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajbii.html,Brivibas 190,2,47,1/6,Recon.,"1,272 €","59,776  €"
Attīstītajs piedāvā iegādāties dzīvokļus 1912. gadā celtā pirmsk,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fjxix.html,Brivibas 190,4,66,2/6,Recon.,"1,618 €","106,758  €"
"Rīgas centrā tiek pārdots studio tipa dzīvoklis

Iespēja iegād",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bdphpd.html,Brivibas 68,1,38,1/6,Recon.,"3,537 €","134,400  €"
"Pārdošanā Gaišs, Pilnībā Izremontēts 2 Istabu Dzīvoklis Rīgā – K",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfckxh.html,Klijanu 22,2,50,2/8,Recon.,"1,696 €","84,800 €"
Divstāvīgs dzīvoklis ar 3 vannas istabām un savu autostāvvietu.,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cixnl.html,Rupniecibas 48,3,60,2/2,New,"4,000 €","240,000  €"
"Skaistā Jaunceltnē, lieliskā apkaimē pārdošanā ir nonācis 2istab",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjfxo.html,Rupniecibas 48,2,35,2/4,New,"3,714 €","130,000  €"
"Skaists, mājīgs 3 istabu dzīvoklis Ģertrūdes ielā 24. Dzīvoklis",https://www.ss.com/msg/en/real-estate/flats/riga/centre/belfom.html,Gertrudes 24,3,86,4/5,Pre-war house,"2,674 €","230,000  €"
"Skaistā Jaunceltnē, lieliskā apkaimē pārdošanā ir nonācis trīs i",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcjfob.html,Rupniecibas 48,3,71,1/2,New,"3,239 €","230,000  €"
"Māja ir nodota ekspluatācijā. 

Attīstītājs piedāvā dzīvokļus",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bmnim.html,Lachplesha 36,2,44,2/5,Recon.,"3,466 €","152,490  €"
"Māja ir nodota ekspluatācijā. 

Attīstītājs piedāvā dzīvokļus",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ahjoi.html,Lachplesha 36,3,64,5/5,Recon.,"3,776 €","241,680  €"
Spacious and bright 3-room apartment with its own balcony and pa,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bcimdn.html,Senchu 7,3,87,1/5,New,"1,713 €","149,000  €"
Spacious and modern apartment with an exclusive view from the ba,https://www.ss.com/msg/en/real-estate/flats/riga/centre/hehix.html,Valdemara 39,3,149,7/7,Recon.,"1,543 €","229,900  €"
Plašs 2istabu dzīvoklis ar lieliem logiem uz slēgtu paglamu. Ir,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bednbf.html,Brivibas 146,2,57,1/5,Recon.,"1,402 €","79,890  €"
Īpašnieks pārdod trīsistabu dzīvokli ar kopējo platību 107 kvadr,https://www.ss.com/msg/en/real-estate/flats/riga/centre/adjdc.html,Republikas pl. 3,4,107,2/7,New,"2,009 €","215,000  €"
"Pārdošanā tiek piedāvāta tikko izremontēta, estētiski augstvērtī",https://www.ss.com/msg/en/real-estate/flats/riga/centre/adbob.html,Klijanu 22,1,30,1/8,Recon.,"1,967 €","59,000  €"
"Piedāvājam rezervācijai 61, 8 m² plašu 3 istabu dzīvokli vēsturi",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cmmdl.html,Bruninieku 41,3,62,3/5,Pre-war house,"1,894 €","117,420  €"
Īpašnieks pārdod gaišu un funkcionālu 3 istabu dzīvokli ar kopēj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/eglxo.html,Pulkv. Briezha 9,3,98,3/8,Spec. pr.,"2,020 €","198,000  €"
Piedāvājam rezervācijai 4-istabu dzīvokli ar platību 82.8 m² vēs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclfjj.html,Bruninieku 41,3,83,2/5,Pre-war house,"1,746 €","144,900  €"
Piedāvājam rezervācijai 2-istabu dzīvokli ar platību 29.7 m² vēs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/becexl.html,Bruninieku 41,2,30,4/5,Pre-war house,"2,079 €","62,370  €"
Piedāvājam rezervācijai 30.2 m² plašu 2 istabu dzīvokli vēsturis,https://www.ss.com/msg/en/real-estate/flats/riga/centre/afohj.html,Bruninieku 41,2,30,2/5,Pre-war house,"1,963 €","58,890  €"
135 m² plašs un gaišs dzīvoklis renovētā vēsturiskā mājā Baznīca,https://www.ss.com/msg/en/real-estate/flats/riga/centre/dflxm.html,Baznicas 45,5,133,4/5,Recon.,"2,030 €","270,000  €"
Eng. Exclusive Penthouse for Sale in the Modern Residential Proj,https://www.ss.com/msg/en/real-estate/flats/riga/centre/becidg.html,Chaka 134,4,135,6/6,New,"2,296 €","310,000  €"
Gaišs un tiešām kluss 2 istabu dzīvoklis centrā pagalma mājā ar,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bconxb.html,Brivibas 162k2,2,55,4/8,Spec. pr.,"1,800 €","98,999  €"
"Продаётся просторная и уютная 4-комнатная квартира площадью 107,",https://www.ss.com/msg/en/real-estate/flats/riga/centre/dninp.html,Brivibas 72/2,4,108,3/6,Pre-war house,"2,083 €","225,000  €"
Dzīvoklis atrodas Ērgļu iela 12 pie Sporta nams Daugava peldbase,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fhbic.html,Barona 110,3,73,1/3,Pre-war house,"2,233 €","163,000  €"
Pārdošanā tiek piedāvāts plašs un gaišs 3 istabu dzīvoklis ar ko,https://www.ss.com/msg/en/real-estate/flats/riga/centre/bedkm.html,Skolas 30,3,91,5/6,Recon.,"1,380 €","125,600  €"
"Pārdod dzīvokli Rīgas centrā, klusā un pieprasītā rajonā. 
2. s",https://www.ss.com/msg/en/real-estate/flats/riga/centre/flenm.html,Terbatas 93,4,93,2/6,Stalin project,"2,000 €","186,000  €"
"Tiek pārdots gaišs un mājīgs 3 istabu dzīvoklis 92, 6 m² platībā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/ajxbo.html,Antonijas 16A,3,93,4/7,New,"3,118 €","290,000  €"
"Pārdod 47, 1 m² dzīvokli vēsturiskā 19. gadsimta tirgotāju namā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/acnhh.html,Elijas 8,3,47,2/2,Pre-war house,745 €,"35,000  €"
"Pārdod lielisku, gaišu un siltu 2 istabu dzīvokli Ģertrūdes ielā",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bclcji.html,Gertrudes 100,2,43,4/5,Spec. pr.,"1,581 €","68,000  €"
Pārdod. Brīnišķīgs divistabu dzīvoklis klusā centrālā vietā. Res,https://www.ss.com/msg/en/real-estate/flats/riga/centre/cmpkj.html,Rupniecibas 11,2,74,4/5,Recon.,"3,784 €","280,000  €"
