description,url,District,R.,m²,Floor,Series,Price
"3 istabu dzīvoklis ar skatu uz plašu, zaļu pagalmu. Bez remonta.",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/dkglh.html,Purvciems Zhagatu 20,3,63,5/9,602-th,"62,900  €"
Apstiprināts projekts divstāvu mansarda dzīvoklim ar skatu virs,https://www.ss.com/msg/en/real-estate/flats/riga/centre/elxpc.html,Centre Valdemara 57/59,Other,331,6/6,Pre-war house,"346,750  €"
Pārdod saulainu un omulīgi iekārtotu 3 istabu dzīvokli ar mēbelē,https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/acmnj.html,Mezhciems Eizenshteina 59,3,63,5/9,602-th,"72,000  €"
Pārdod dzīvokli ar palīgtelpu. Tas atrodas 1903. gadā arhitekta,https://www.ss.com/msg/en/real-estate/flats/riga/centre/fhdej.html,Centre Valmieras 28,2,64,5/5,Recon.,"96,500  €"
Pārdošanā praktisks 3-istabu dzīvoklis ar zemiem komunālajiem ma,https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/gehlo.html,Purvciems Ilukstes 103,3,69,5/5,103-th,"85,000  €"
"Pārdodam siltu, saulainu divistabu dzīvokli jaunajā projektā. Ba",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/bcodc.html,Purvciems Dzelzavas 74/K1,2,62,3/11,New,"160,000  €"
"2-istabu dzīvoklis ar virtuvi, iebūvētajiem skapjiem un indivuāl",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bjxiil.html,Agenskalns Jelgavas 65,2,38,1/4,Recon.,"104,000  €"
Tiek pārdots mājīgs un mūsdienīgs 2-istabu dzīvoklis pašā Vecrīg,https://www.ss.com/msg/en/real-estate/flats/riga/vecriga/bxxxf.html,Vecriga Kungu 25,2,68,2/6,New,"171,000  €"
"Pārdod mājīgu divistabu dzīvokli Rīgā – Matīsa ielā 59, Centrā.",https://www.ss.com/msg/en/real-estate/flats/riga/centre/cihpo.html,Centre Matisa 59,2,57,3/5,Pre-war house,"112,200  €"
"Dzīvoklis ar autonomu gāzes apkuri klusā, zaļā rajonā. 
Galvenā",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/ixjkh.html,Purvciems Vejavas 5,2,47,2/2,Spec. pr.,"49,990  €"
"Pārdod 2-istabu dzīvokli lieliskā vietā. 

Pārdod gaišu un sil",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/cippc.html,Kengarags Latgales 250 k1,2,42,5/5,Chrusch.,"43,000  €"
"Pārdod koptu un siltu 1-istabas dzīvokli renovētā, ēkas vidus da",https://www.ss.com/msg/en/real-estate/flats/riga/centre/bfdgp.html,Centre Stabu 52,1,19,2/3,Pre-war house,"48,995  €"
Pārdod dzīvokli mājas piektajā stāvā. Plānojumā ir trīs istabas:,https://www.ss.com/msg/en/real-estate/flats/riga/ilguciems/oiddp.html,Ilguciems Cementa 18,3,56,5/5,Lit pr.,"62,700 €"
"Brooklyn Gates - Vēstures Šarms. Moderns Potenciāls. 

Piedāvā",https://www.ss.com/msg/en/real-estate/flats/riga/maskavas-priekshpilseta/cclhpi.html,Latgales priekshpilset Daugavpils 57,3,43,2/5,Pre-war house,"65,816  €"
"Pārdodu plašu, gaišu un saulainu 3 istabu divlīmeņu dzīvokli Tei",https://www.ss.com/msg/en/real-estate/flats/riga/teika/bephdx.html,Teika Burtnieku 36A,3,96,4/5,New,"199,000  €"
"Tiek pārdots plašs 2-istabu dzīvoklis ar augstiem griestiem, klu",https://www.ss.com/msg/en/real-estate/flats/riga/vecmilgravis/fhbdf.html,Vecmilgravis Anitas 9,2,62,2/2,Stalin project,"33,000 €"
"Pardod 2 istabu dzīvokli teicamā vietā - Vaidavas iela 10
Pārdo",https://www.ss.com/msg/en/real-estate/flats/riga/teika/bcjlee.html,Teika Ieriku 8,2,41,3/5,Chrusch.,"43,888  €"
"Pardod 2 istabu dzīvokli teicamā vietā
Pārdod 2 istabu dzīvokli",https://www.ss.com/msg/en/real-estate/flats/riga/purvciems/fcebg.html,Purvciems Vaidavas 10,2,41,3/5,Chrusch.,"43,888 €"
Продаётся 2-комнатная квартира в Плявниеках по адресу: ул. Salna,https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/ahpci.html,Plyavnieki Salnas 28,2,51,2/9,602-th,"63,000  €"
"Tiek pārdots mājīgs divistabu dzīvoklis Rīgā, Salacas ielā 21.",https://www.ss.com/msg/en/real-estate/flats/riga/krasta-st-area/fellp.html,Krasta st. area Salacas 21,2,49,5/9,467-th,"65,000  €"
"Pārdod gaišu vienistabas dzīvokli Rīgā – Ilūkstes ielā 20, Pļavn",https://www.ss.com/msg/en/real-estate/flats/riga/plyavnieki/bemofx.html,Plyavnieki Ilukstes 20,1,34,5/9,602-th,"44,500  €"
"Pārdošanā 1 istabas dzīvoklis ideālā lokācijā. 

Dzīvoklis ir",https://www.ss.com/msg/en/real-estate/flats/riga/imanta/ccohp.html,Imanta Kleistu 19,1,36,9/9,602-th,"40,500  €"
Tiek pārdots kompakts un mājīgs viena istabas dzīvoklis pirmskar,https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/bjmfof.html,Kengarags Latgales 223,1,27,3/3,Pre-war house,"30,000  €"
"Dzīvoklis ar kamīnu, balkonu un savu stāvvietu pašā pilsētas sir",https://www.ss.com/msg/en/real-estate/flats/riga/centre/chxji.html,Centre Merkela 8,4,115,5/6,Pre-war house,"192,000  €"
"Новые батареи, стеклопакеты, бойлер.",https://www.ss.com/msg/en/real-estate/flats/riga/kengarags/dljki.html,Kengarags Latgales 417,4,76,9/9,467-th,"70,000 €"
Tiek pārdots kompakts un mājīgs viena istabas dzīvoklis pirmskar,https://www.ss.com/msg/en/real-estate/flats/riga/krasta-st-area/ggjec.html,Krasta st. area Latgales 223,1,27,3/3,Pre-war house,"30,000  €"
"Pārdod 2 istabu dzīvokli Sarkandaugavā. 

Dzīvoklis atrodas kl",https://www.ss.com/msg/en/real-estate/flats/riga/sarkandaugava/dlpxk.html,Sarkandaugava Sarkandaugavas 33,2,52,2/6,Pre-war house,"24,900  €"
"Iegādei pieejams 3-istabu dzīvoklis 74.7 m² platībā, kas atrodas",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/bimmom.html,Agenskalns Ranka d. 30,3,75,8/30,New,"247,112  €"
"Iegādei pieejams 1-istabas dzīvoklis 37.4 m² platībā, kas atroda",https://www.ss.com/msg/en/real-estate/flats/riga/agenskalns/blgpdm.html,Agenskalns Ranka d. 30,1,37,19/30,New,"112,893  €"
"Attīstītājs ""Yit Latvija"" piedāvā iegādāties jaunu 2-istabu dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/gjebf.html,Mezhciems Kaivas 48b,2,44,2/6,New,"114,100  €"
"Attīstītājs ""Yit Latvija"" piedāvā iegādāties jaunu 3-istabu dzīv",https://www.ss.com/msg/en/real-estate/flats/riga/mezhciems/ikejd.html,Mezhciems Kaivas 48b,3,60,5/6,New,"158,000  €"
